op,size_kb,count,mean_ms,stddev,p50,p95,p99,mean_requests,mean_bytes_sent,mean_bytes_received,samples
"get",1,1000,33.992,18.812,29.529,92.467,125.562,1,0,1024,""
"get",16,1000,33.096,17.592,29.313,37.438,129.125,1,0,16384,""
"get",256,1000,42.634,30.133,31.725,126.086,140.190,1,0,262144,""
"get",4096,1000,78.438,49.441,67.816,183.305,198.003,1,0,4194304,""
"get",8192,1000,109.444,13.368,107.760,125.408,139.122,1,0,8388608,""
"get",16384,1000,186.851,22.642,184.818,216.575,237.277,1,0,16777216,""
"put",1,1000,41.755,31.215,28.658,119.578,131.132,1,1024,0,""
"put",16,1000,30.175,11.731,28.411,31.250,110.497,1,16384,0,""
"put",256,1000,41.530,27.915,31.806,119.173,137.242,1,262144,0,""
"put",4096,1000,83.673,5.049,82.966,91.688,100.729,1,4194304,0,""
"put",8192,1000,142.794,10.891,141.226,158.928,173.335,1,8388608,0,""
"put",16384,1000,264.439,20.277,265.219,291.077,305.131,1,16777216,0,""
"patch",1,1000,31.461,4.254,31.081,34.571,35.978,1,189.890,0,""
"delete",1,1000,40.135,29.490,26.144,106.081,115.003,1,0,0,""
"delete",16,1000,35.864,24.838,26.413,102.299,113.014,1,0,0,""
"delete",256,1000,27.122,6.774,26.154,29.337,36.562,1,0,0,""
"delete",4096,1000,28.591,4.839,27.910,31.162,46.686,1,0,0,""
"delete",8192,1000,30.024,4.663,29.055,37.306,46.440,1,0,0,""
"delete",16384,1000,32.169,7.452,30.073,47.996,57.322,1,0,0,""
"acl-delete",1,1000,46.777,25.301,39.371,127.963,145.623,1,0,0,""
