method,catalog_entries,heap_bytes,heap_kib,body_bytes,body_kib,reps
"put",8,306560,299,5983,6,1000
"n3patch",8,6008,6,1725,2,1000
"put",16,611408,597,11860,12,1000
"n3patch",16,5928,6,1741,2,1000
"put",32,1356296,1325,23540,23,1000
"n3patch",32,5928,6,1741,2,1000
"put",64,3474524,3393,46900,46,1000
"n3patch",64,5768,6,1741,2,1000
"put",128,10039120,9804,94557,92,1000
"n3patch",128,5784,6,1757,2,1000
"put",256,28577304,27908,189533,185,1000
"n3patch",256,5048,5,1757,2,1000
"put",512,75786616,74010,379485,371,1000
"n3patch",512,5048,5,1757,2,1000
"put",1024,61873296,60423,765678,748,1000
"n3patch",1024,5064,5,1773,2,1000
"put",2048,54713780,53431,1537774,1502,1000
"n3patch",2048,5064,5,1773,2,1000
"put",4096,70861436,69201,3081966,3010,1000
"n3patch",4096,5064,5,1773,2,1000
"put",8192,120303512,117484,6170350,6026,1000
"n3patch",8192,5224,5,1773,2,1000
"put",16384,265725056,259497,12483727,12191,1000
"n3patch",16384,5240,5,1789,2,1000
