method,catalog_entries,max_rss_kib,max_rss_mib,rss_kib,heap_used_kib
put,8,101300,98.900,92808,13260
put,16,89092,87,77496,13741
put,32,88576,86.500,87880,12938
put,64,92280,90.100,85796,15174
put,128,112504,109.900,112504,29662
put,256,161592,157.800,161592,41389
put,512,212416,207.400,212416,112293
put,1024,213792,208.800,213920,108325
put,2048,219816,214.700,219816,117509
put,4096,312028,304.700,309060,196906
put,8192,362044,353.600,348492,170334
put,16384,840812,821.100,840812,658668
put,32768,1424740,1391.300,1424996,1123013
put,65536,1534312,1498.400,1397024,737673
