arm,size_kb,trash_size,concurrency,mean_ms,stddev_ms,p50,p95,p99,mean_requests,mean_kb_received
"restore",16,0,1,803.468,380.449,721.782,815.412,2855.131,22,19.948
"restore",256,0,1,792.061,363.251,723.069,797.311,2833.546,22,259.983
"restore",4096,0,1,829.417,114.688,814.661,886.682,1274.862,22,4099.992
"restore",8192,0,1,931.517,100.159,919.281,981.751,1416.524,22,8195.992
"restore",16384,0,1,1114.661,69.650,1106.341,1189.282,1340.574,22,16388.000
"read",16,0,1,40.228,20.009,36.420,41.414,160.711,1,16
"read",256,0,1,44.808,24.778,38.852,120.332,160.025,1,256
"read",4096,0,1,71.736,12.613,69.978,79.562,98.764,1,4096
"read",8192,0,1,109.016,13.138,107.428,121.101,138.426,1,8192
"read",16384,0,1,190.165,26.628,188.482,213.298,237.497,1,16384
