method,catalog_entries,clients,attempts,successes,timeouts,errors,timeout_pct,error_pct,mean_ms,sd_ms,p50_ms,p95_ms,p99_ms,throughput_ops_per_s,source
"put",8,8,504,504,0,0,0,0,477.293,258.099,331.065,964.686,979.355,16.535,"json"
"put",8,16,512,512,0,0,0,0,512.064,46.038,527.814,552.197,591.525,30.038,"json"
"put",8,24,504,504,0,0,0,0,751.928,54.474,762.498,796.107,800.391,31.004,"json"
"put",8,32,512,512,0,0,0,0,961.309,52.310,973.260,1020.418,1025.473,32.492,"json"
"put",8,40,520,520,0,0,0,0,1341.776,500.947,1213.440,3066.565,3073.355,29.339,"json"
"put",8,48,528,528,0,0,0,0,1457.624,58.135,1462.655,1520.918,1529.005,32.400,"json"
"put",8,56,504,504,0,0,0,0,1820.298,270.959,1734.776,2621.929,2699.352,30.298,"json"
"put",8,64,512,512,0,0,0,0,2122.796,179.364,2041.726,2321.745,2328.620,29.916,"json"
"put",8,96,576,576,0,0,0,0,3236.643,232.410,3081.326,3701.861,3810.443,28.888,"json"
"put",8,128,512,512,0,0,0,0,4694.575,31.634,4687.739,4753.346,4762.085,27.088,"json"
"put",8,192,576,576,0,0,0,0,6342.519,137.180,6292.594,6546.071,6552.838,30.049,"json"
"put",8,256,512,512,0,0,0,0,9497.995,1833.002,8227.808,13115.575,13217.292,23.770,"json"
"put",16,8,504,504,0,0,0,0,302.597,21.669,297.170,340.210,365.505,26.281,"json"
"put",16,16,512,512,0,0,0,0,634.898,257.712,594.834,986.847,1961.327,24.203,"json"
"put",16,24,504,504,0,0,0,0,728.670,80.295,755.991,787.693,798.002,31.242,"json"
"put",16,32,512,512,0,0,0,0,1003.626,111.371,1003.996,1188.537,1195.390,30.824,"json"
"put",16,40,520,520,0,0,0,0,1328.476,407.579,1248.161,2698.083,2704.344,29.193,"json"
"put",16,48,528,528,0,0,0,0,1545.642,113.592,1562.714,1699.803,1706.275,30.134,"json"
"put",16,56,504,504,0,0,0,0,1860.346,222.560,1797.279,2523.430,2611.081,29.508,"json"
"put",16,64,512,512,0,0,0,0,2061.502,47.205,2074.936,2113.779,2123.823,30.574,"json"
"put",16,96,576,576,0,0,0,0,3007.269,246.257,3024.520,3351.706,3451.376,30.899,"json"
"put",16,128,512,512,0,0,0,0,4024.426,110.642,4055.600,4121.146,4126.907,31.218,"json"
"put",16,192,576,576,0,0,0,0,6382.294,157.670,6449.073,6565.067,6571.823,29.707,"json"
"put",16,256,512,512,0,0,0,0,9586.840,1746.209,8967.180,13027.061,13129.043,23.095,"json"
"put",32,8,504,504,0,0,0,0,337.919,34.143,332.903,374.939,545.950,23.540,"json"
"put",32,16,512,512,0,0,0,0,569.048,61.074,582.749,631.242,671.637,27.093,"json"
"put",32,24,504,504,0,0,0,0,822.539,95.189,852.921,904.062,948.664,27.902,"json"
"put",32,32,512,512,0,0,0,0,1084.259,114.303,1120.107,1167.681,1174.844,28.363,"json"
"put",32,40,520,520,0,0,0,0,1424.391,269.988,1387.525,2111.652,2135.929,26.914,"json"
"put",32,48,528,528,0,0,0,0,1597.444,153.331,1642.317,1676.033,1685.298,28.983,"json"
"put",32,56,504,504,0,0,0,0,1987.191,207.462,2074.302,2140.498,2148.753,26.965,"json"
"put",32,64,512,512,0,0,0,0,2215.488,364.174,2172.227,3089.017,3096.605,27.838,"json"
"put",32,96,576,576,0,0,0,0,3210.430,269.118,3267.651,3401.902,3409.700,29.103,"json"
"put",32,128,512,512,0,0,0,0,4171.045,406.170,4296.229,4334.740,4341.077,29.590,"json"
"put",32,192,576,576,0,0,0,0,6775.847,667.213,6977.434,7227.423,7235.793,27.433,"json"
"put",32,256,512,512,0,0,0,0,9930.684,2394.406,8953.553,14308.739,14391.583,21.871,"json"
"put",64,8,504,504,0,0,0,0,390.262,45.587,374.052,458.402,495.172,20.394,"json"
"put",64,16,512,512,0,0,0,0,741.977,58.228,748.282,806.698,814.560,21.169,"json"
"put",64,24,504,504,0,0,0,0,1238.623,545.636,1024.657,2617.242,2650.035,18.851,"json"
"put",64,32,512,512,0,0,0,0,1263.063,99.326,1288.696,1360.705,1367.595,24.736,"json"
"put",64,40,520,520,0,0,0,0,1537.382,136.042,1567.923,1650.622,1659.050,25.226,"json"
"put",64,48,528,528,0,0,0,0,2071.964,731.971,1881.948,4340.204,4351.148,22.652,"json"
"put",64,56,504,504,0,0,0,0,2053.324,129.672,2065.640,2127.759,2136.004,26.714,"json"
"put",64,64,512,512,0,0,0,0,2341.208,160.793,2370.457,2444.868,2451.139,26.723,"json"
"put",64,96,576,576,0,0,0,0,3516.655,263.818,3568.414,3725.548,3765.171,26.615,"json"
"put",64,128,512,512,0,0,0,0,4711.489,321.963,4789.792,4859.157,4865.179,26.595,"json"
"put",64,192,576,576,0,0,0,0,7744.010,472.533,7853.794,8124.024,8132.719,24.361,"json"
"put",64,256,512,512,0,0,0,0,10364.199,567.070,10210.247,10761.060,10768.101,24.307,"json"
"put",128,8,504,504,0,0,0,0,508.324,73.337,497.575,572.702,985.737,15.681,"json"
"put",128,16,512,512,0,0,0,0,916.087,50.704,905.664,1001.392,1018.637,17.398,"json"
"put",128,24,504,504,0,0,0,0,1349.877,74.952,1333.072,1497.553,1540.415,17.706,"json"
"put",128,32,512,512,0,0,0,0,1780.686,144.458,1727.430,2203.939,2265.805,17.874,"json"
"put",128,40,520,520,0,0,0,0,2160.995,106.922,2147.013,2453.398,2461.732,18.423,"json"
"put",128,48,528,528,0,0,0,0,2580.228,95.363,2571.043,2822.745,2828.724,18.516,"json"
"put",128,56,504,504,0,0,0,0,3008.191,169.073,2978.276,3439.774,3447.267,18.528,"json"
"put",128,64,512,512,0,0,0,0,3429.646,127.760,3399.790,3643.222,3650.341,18.542,"json"
"put",128,96,576,576,0,0,0,0,5268.982,375.525,5087.882,5796.396,5804.422,18.082,"json"
"put",128,128,512,512,0,0,0,0,6989.006,276.135,6808.788,7415.645,7423.583,18.153,"json"
"put",128,192,576,576,0,0,0,0,10719.445,418.419,10443.351,11341.729,11359.340,17.778,"json"
"put",128,256,512,512,0,0,0,0,15718.898,1458.952,15247.356,18409.844,18505.537,14.655,"json"
