method,catalog_entries,clients,attempts,successes,timeouts,errors,timeout_pct,error_pct,mean_ms,sd_ms,p50_ms,p95_ms,p99_ms,throughput_ops_per_s,error_statuses,landed,lost_updates
"put",8,1,500,500,0,0,0,0,101.948,25.994,108.646,138.291,151.820,9.807,"",500,0
"put",8,5,500,500,0,0,0,0,245.915,49.230,244.288,331.697,363.398,16.459,"",100,400
"put",8,10,500,500,0,0,0,0,388.388,61.872,380.727,494.600,553.430,20.819,"",50,450
"put",16,1,500,500,0,0,0,0,98.631,28.565,107.605,136.453,143.832,10.137,"",500,0
"put",16,5,500,500,0,0,0,0,253.830,50.475,250.383,341.012,362.076,16.012,"",100,400
"put",16,10,500,500,0,0,0,0,408.225,64.106,405.613,514.668,561.595,19.724,"",50,450
"put",32,1,500,500,0,0,0,0,99.235,27.178,108.074,134.245,149.497,10.076,"",500,0
"put",32,5,500,500,0,0,0,0,265.509,53.616,261.435,358.776,406.235,15.328,"",100,400
"put",32,10,500,500,0,0,0,0,417.072,60.115,410.016,519.340,561.345,19.682,"",50,450
"put",64,1,500,500,0,0,0,0,106.743,28.468,112.164,147.425,164.302,9.367,"",500,0
"put",64,5,500,500,0,0,0,0,290.391,53.951,287.594,384.883,418.128,14.215,"",100,400
"put",64,10,500,500,0,0,0,0,449.178,57.272,441.765,551.692,588.948,18.353,"",50,450
"put",128,1,500,500,0,0,0,0,120.580,26.988,120.549,164.884,182.360,8.292,"",500,0
"put",128,5,500,500,0,0,0,0,374.985,58.918,371.409,477.028,509.406,11.443,"",100,400
"put",128,10,500,500,0,0,0,0,619.321,77.546,612.250,749.427,805.786,14.006,"",50,450
"put",256,1,500,500,0,0,0,0,143.109,29.452,135.800,194.351,210.032,6.987,"",500,0
"put",256,5,500,500,0,0,0,0,557.927,68.379,554.310,670.526,714.997,8.027,"",100,400
"put",256,10,500,500,0,0,0,0,1095.310,106.682,1092.324,1275.279,1346.813,8.325,"",50,450
"put",512,1,500,500,0,0,0,0,208.322,45.545,201.719,287.790,333.501,4.800,"",500,0
"put",512,5,500,500,0,0,0,0,753.316,64.370,749.226,869.429,910.619,6.064,"",100,400
"put",512,10,500,500,0,0,0,0,1377.716,110.228,1367.814,1585.984,1662.484,6.698,"",50,450
"put",1024,1,500,500,0,0,0,0,192.311,17.305,191.702,222.511,229.031,5.199,"",500,0
"put",1024,5,500,500,0,0,0,0,840.986,67.713,836.746,959.558,1008.005,5.415,"",100,400
"put",1024,10,500,500,0,0,0,0,1621.161,117.749,1610.019,1830.496,1922.580,5.686,"",50,450
"put",2048,1,500,500,0,0,0,0,308.217,24.565,306.459,347.058,367.596,3.244,"",500,0
"put",2048,5,500,500,0,0,0,0,1381.392,76.771,1373.541,1510.707,1567.358,3.384,"",100,400
"put",2048,10,500,500,0,0,0,0,2719.761,134.129,2712.547,2954.209,3082.294,3.446,"",50,450
"put",4096,1,500,500,0,0,0,0,566.269,26.312,566.170,608.220,623.173,1.766,"",500,0
"put",4096,5,500,500,0,0,0,0,2526.172,119.770,2517.827,2726.050,2825.542,1.882,"",100,400
"put",4096,10,500,500,0,0,0,0,5077.393,203.316,5081.204,5404.054,5533.905,1.872,"",50,450
"put",8192,1,500,500,0,0,0,0,1061.298,50.764,1057.679,1148.455,1178.252,0.942,"",500,0
"put",8192,5,500,500,0,0,0,0,5127.765,437.689,5043.387,6050.209,7036.629,0.934,"",100,400
"put",8192,10,500,500,0,0,0,0,10043.536,293.661,10041.971,10517.963,10797.013,0.961,"",50,450
"put",16384,1,500,500,0,0,0,0,2167.881,101.436,2173.040,2327.660,2390.505,0.461,"",500,0
"put",16384,5,500,497,0,3,0,0.600,10442.681,285.672,10457.225,10901.181,11102.283,0.463,"0x3",100,397
"put",16384,10,500,497,0,3,0,0.600,21174.525,1102.982,21266.051,22671.230,23771.712,0.454,"0x3",50,447
"n3patch",8,1,500,500,0,0,0,0,118.565,51.730,134.036,188.779,227.333,8.434,"",500,0
"n3patch",8,5,500,500,0,0,0,0,408.179,242.493,361.085,908.134,957.911,7.455,"",500,0
"n3patch",8,10,500,500,0,0,0,0,721.350,450.267,614.327,1553.379,1861.549,7.868,"",500,0
"n3patch",16,1,500,500,0,0,0,0,122.013,52.068,134.918,190.232,224.293,8.195,"",500,0
"n3patch",16,5,500,500,0,0,0,0,408.184,242.886,350.916,873.730,1001.547,7.433,"",500,0
"n3patch",16,10,500,500,0,0,0,0,745.018,457.923,648.519,1618.668,1869.156,7.651,"",500,0
"n3patch",32,1,500,500,0,0,0,0,125.076,50.217,136.825,190.073,229.179,7.994,"",500,0
"n3patch",32,5,500,500,0,0,0,0,422.986,244.678,366.272,897.043,995.683,7.199,"",500,0
"n3patch",32,10,500,500,0,0,0,0,776.267,463.689,666.767,1655.503,1918.129,7.361,"",500,0
"n3patch",64,1,500,500,0,0,0,0,135.512,48.795,143.246,202.837,238.464,7.378,"",500,0
"n3patch",64,5,500,500,0,0,0,0,461.108,259.744,408.894,936.291,1102.129,6.614,"",500,0
