method,catalog_entries,clients,successes,mean_ms,sd_ms,p50_ms,p95_ms,p99_ms,throughput_ops_per_s,failed_reps
"put",8,1,1000,62.525,27.197,55.988,84.346,217.056,15.992,0
"put",16,1,1000,62.595,31.793,56.831,63.220,247.045,15.974,0
"put",32,1,1000,60.906,20.641,58.375,62.512,184.033,16.417,0
"put",64,1,1000,62.167,6.043,61.945,65.072,72.471,16.083,0
"put",128,1,1000,72.171,6.482,71.796,75.004,83.465,13.854,0
"put",256,1,1000,102.345,6.563,101.848,106.752,113.914,9.770,0
"put",512,1,1000,168.294,9.557,164.868,184.135,192.268,5.942,0
"put",1024,1,1000,214.737,55.173,199.685,358.626,434.896,4.657,0
"put",2048,1,1000,296.140,15.688,293.832,323.280,337.749,3.377,0
"put",4096,1,1000,558.194,30.411,555.487,611.324,640.132,1.791,0
"put",8192,1,1000,1101.440,49.393,1099.390,1184.033,1221.385,0.908,0
"put",16384,1,1000,2237.775,114.798,2235.788,2364.515,2483.867,0.447,0
"n3patch",8,1,1000,35.337,11.789,33.845,37.151,119.168,28.293,0
"n3patch",16,1,1000,38.975,18.874,35.335,40.566,149.687,25.652,0
"n3patch",32,1,1000,50.960,37.602,38.566,110.266,164.109,19.621,0
"n3patch",64,1,1000,46.606,6.069,45.269,54.169,59.311,21.452,0
"n3patch",128,1,1000,66.907,5.729,65.176,74.393,81.240,14.944,0
"n3patch",256,1,1000,144.577,22.810,142.892,174.708,181.282,6.916,0
"n3patch",512,1,1000,292.819,11.910,290.964,313.361,331.103,3.415,0
"n3patch",1024,1,1000,365.644,16.709,362.482,400.027,416.910,2.735,0
"n3patch",2048,1,1000,498.827,32.039,488.296,558.116,576.922,2.005,0
"n3patch",4096,1,1000,909.371,60.243,892.465,1023.945,1085.151,1.100,0
"n3patch",8192,1,1000,1765.828,110.367,1744.953,1971.835,2154.003,0.566,0
"n3patch",16384,1,1000,3237.719,217.582,3203.977,3596.511,4057.563,0.309,0
