op,size_kb,count,mean_ms,stddev,p50,p95,p99,mean_requests,mean_bytes_sent,mean_bytes_received
"get",1,1000,13.934,2.058,13.541,15.969,22.501,1,0,29
"get",16,1000,20.403,2.095,19.953,22.396,27.269,1,0,52
"get",256,1000,44.057,5.106,42.922,48.525,78.398,1,0,290
"get",4096,1000,162.706,7.853,160.989,173.358,187.557,1,0,4099
"get",8192,1000,238.819,9.683,236.804,251.916,279.741,1,0,8163
"get",16384,1000,333.122,13.420,330.026,353.092,389.923,1,0,0
"put",1,1000,10.927,8.113,9.778,11.282,73.793,1,1024,0
"put",16,1000,11.021,6.536,10.215,11.669,16.834,1,16384,0
"put",256,1000,13.645,6.573,12.921,14.447,18.307,1,262144,0
"put",4096,1000,69.382,10.886,67.021,75.379,140.126,1,4194304,0
"put",8192,1000,139.894,10.133,138.248,150.992,199.581,1,8388608,0
"put",16384,1000,258.758,12.911,254.611,281.327,302.853,1,16777216,0
"delete",1,1000,11.291,6.606,10.506,12.058,22.290,1,0,0
"delete",16,1000,13.253,5.433,12.688,14.543,17.481,1,0,0
"delete",256,1000,21.293,9.474,20.128,22.777,32.269,1,0,0
"delete",4096,1000,43.137,12.313,41.040,46.386,137.650,1,0,0
"delete",8192,1000,43.298,8.977,41.775,47.330,87.001,1,0,0
"delete",16384,1000,48.333,12.450,46.573,54.046,72.671,1,0,0
"acl-delete",1,1000,11.790,9.993,10.762,12.463,24.200,1,0,0
