method,size_kb,trash_size,concurrency,mean_ms,stddev_ms,p50,p95,p99,mean_requests,mean_kb_received
"restore",16,0,1,298.816,148.879,230.676,589.178,922.123,22,5.158
"restore",256,0,1,346.037,206.277,247.560,749.835,1109.848,22,5.436
"restore",4096,0,1,489.656,174.629,405.459,814.436,1126.835,22,9.166
"restore",8192,0,1,617.505,128.470,558.902,843.442,1102.424,22,13.135
"restore",16384,0,1,834.728,92.004,794.599,1010.640,1156.403,22,5.175
"read",16,0,1,14.093,16.816,12.314,13.868,18.304,1,0.050
"read",256,0,1,26.091,27.687,22.569,25.124,237.538,1,0.282
"read",4096,0,1,111.532,27.445,107.790,120.247,138.426,1,4.002
"read",8192,0,1,192.590,32.586,187.372,213.740,445.872,1,7.971
"read",16384,0,1,300.479,25.546,295.831,323.962,359.778,1,0
