method,size_kb,trash_size,concurrency,mean_ms,stddev_ms,p50,p95,p99,mean_requests,mean_kb_sent,mean_kb_received
"soft",16,0,1,330.147,143.781,264.670,561.667,901.538,24,18.910,4.077
"soft",16,64,1,390.165,210.510,291.395,741.323,1269.937,24,82.403,4.045
"soft",16,512,1,547.046,235.636,427.916,938.858,1370.302,24,532.018,4.063
"soft",256,0,1,372.715,180.226,282.679,667.265,1013.589,24,258.935,4.834
"soft",256,64,1,414.566,195.288,312.724,751.037,1111.872,24,322.722,4.763
"soft",256,512,1,565.479,205.378,460.856,924.301,1233.102,24,774.525,4.780
"soft",4096,0,1,654.424,157.954,576.369,939.152,1214.000,24,4098.942,16.014
"soft",4096,64,1,691.155,145.232,616.116,942.099,1167.034,24,4163.041,15.942
"soft",4096,512,1,817.682,143.160,746.056,1064.692,1311.531,24,4617.032,15.960
"soft",8192,0,1,897.350,123.225,841.991,1108.866,1267.276,24,8194.942,27.920
"soft",8192,64,1,943.759,109.087,895.549,1152.439,1324.991,24,8259.683,27.883
"soft",8192,512,1,1063.037,121.780,1009.604,1287.608,1408.983,24,8718.049,27.900
"soft",16384,0,1,1210.669,93.849,1169.468,1377.602,1530.038,24,16386.965,4.063
"soft",16384,64,1,1273.549,88.756,1240.037,1436.464,1572.500,24,16452.002,3.991
"soft",16384,512,1,1374.733,85.977,1346.737,1538.925,1672.626,24,16912.556,4.009
"hard",16,0,1,125.763,61.125,107.014,292.573,325.576,10,0.233,3.010
"hard",16,64,1,133.777,81.068,106.903,357.912,399.028,10,0.233,3.025
"hard",16,512,1,148.412,113.695,107.514,438.694,463.000,10,0.233,3.039
"hard",256,0,1,150.848,119.886,109.070,490.309,542.807,10,0.233,3.027
"hard",256,64,1,158.459,147.268,108.955,540.253,649.661,10,0.233,3.041
"hard",256,512,1,147.848,126.611,109.668,522.941,569.596,10,0.233,3.056
"hard",4096,0,1,163.294,128.919,119.323,514.098,539.589,10,0.233,3.043
"hard",4096,64,1,161.310,123.237,121.067,512.992,541.637,10,0.233,3.058
"hard",4096,512,1,160.450,120.918,120.055,488.455,597.410,10,0.233,3.073
"hard",8192,0,1,153.049,100.217,121.333,465.912,486.450,10,0.233,3.043
"hard",8192,64,1,153.897,104.714,122.252,453.360,493.713,10,0.233,3.058
"hard",8192,512,1,157.154,107.786,121.390,440.527,495.509,10,0.233,3.073
"hard",16384,0,1,157.724,98.420,123.525,419.443,468.990,10,0.233,3.060
"hard",16384,64,1,155.082,91.204,124.437,388.702,439.905,10,0.233,3.075
"hard",16384,512,1,151.423,82.992,122.627,367.345,436.062,10,0.233,3.089
